NRO. RESOLUCIÓN,FECHA DE EMISIÓN,ASUNTO,NOMBRE DE LA ORGANIZACIÓN,TIPO DE SERVICIO,TIPO DE SERVICIO ESPECIFÍCO,APROBADO POR,PEDIDO_UNIFICADO
SGDPN-DRCPN-2025-0001-R,2025-01-08,PERSONERIA JURIDICA,ASOCIACION DE MUJERES AFRO AMAZONICAS DE SHUSHUFINDI,Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0002-R,2025-01-08,REGISTRO DE DIRECTIVA,COMUNIDAD NUEVO AMANECER,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0003-R,2025-01-08,REGISTRO DE DIRECTIVA,"ASOCIACIÓN KICHWA AGRO TURISTICO AMARUN COCHA ""AKATAC""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0004-R,2025-01-10,REGISTRO DE DIRECTIVA,CENTRO SHUAR DE KUNCHAIM,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0005-R,2025-01-10,REGISTRO DE DIRECTIVA,CORPORACIÓN HATUN YACHAKUNA,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0006-R,2025-01-10,INCLUSIÓN DE SOCIOS,"FUNDACIÓN ""INTIKILLAHAYA""",Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0007-R,2025-01-10,REGISTRO DE DIRECTIVA,"FUNDACIÓN ""INTIKILLAHAYA""",Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0008-R,2025-01-10,REGISTRO DE DIRECTIVA,COMUNIDAD TIPUTINI,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0009-R,2025-01-10,REGISTRO DE DIRECTIVA,COMUNA OMAGUAS ALTO SAN MIGUEL,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0010-R,2025-01-10,INCLUSIÓN DE SOCIOS,CENTRO SHUAR DE KUNCHAIM,Registro de inclusión y/o exclusión de miembros ,Registro de inclusión y/o exclusión de miembros o socios,Luis Fernando Sarango Macas,INCLUSIÓN DE SOCIOS | Registro de inclusión y/o exclusión de miembros 
SGDPN-DRCPN-2025-0011-R,2025-01-10,PERSONERIA JURIDICA,"ASOCIACIÓN DE JOVENES DE IMBABURA ""HATUN URQUKUNA""",Personería jurídica a organizaciones sin fines de lucro,"Personería jurídica de corporaciones de primer, segundo y tercer grado",Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
SGDPN-DRCPN-2025-0012-R,2025-01-13,PERSONERIA JURIDICA,COMUNIDAD INDIGENA SAN ARCOS DE GALAPAGOS,Personería jurídica de las comunas y comunidades,Personería jurídica de las comunas y comunidades,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica de las comunas y comunidades
SGDPN-DRCPN-2025-0013-R,2025-01-14,REGISTRO DE DIRECTIVA,COMUNIDAD KICHWA NUEVE DE JULIO,Registro y actualización de Directiva,Registro y actualización de Directiva,Luis Fernando Sarango Macas,REGISTRO DE DIRECTIVA | Registro y actualización de Directiva
SGDPN-DRCPN-2025-0014-R,2025-01-15,PERSONERIA JURIDICA,FUNDACION SHUAR SOCIEDAD Y DESARROLLO,Personería jurídica a organizaciones sin fines de lucro,Personería jurídica de fundaciones,Luis Fernando Sarango Macas,PERSONERIA JURIDICA | Personería jurídica a organizaciones sin fines de lucro
