NRO.,NRO. RESOLUCIÓN,FECHA DE EMISIÓN,SOLICITUD,FECHA SOLICITUD,NOMBRE DE LA ORGANIZACIÓN,PROVINCIA,PEDIDO_UNIFICADO
1,SGDPN-DRCPN-2023-0578-R  ,2023-12-05 00:00:00,SGDPN-SGDPN-2023-0902-E,2023-03-21 00:00:00,COMUNIDAD SAN FRANCISCO DE TOACASO,COTOPAXI,SGDPN-SGDPN-2023-0902-E
2,SGDPN-SGDPN-2023-0570-R,2023-11-28 00:00:00,SGDPN-SGDPN-2023-3050-E,2023-11-08 00:00:00,FUNDACIÓN KAMANA,PICHINCHA,SGDPN-SGDPN-2023-3050-E
3,SGDPN-DRCPN-2023-0581-R  ,2023-12-11 00:00:00,NO ESPECIFICADO,FECHA NO ESPECIFICADA,COMUNIDAD DE LARCACHACA,PICHINCHA,NO ESPECIFICADO
4,SGDPN-DRCPN-2023-0603-R,2023-12-28 00:00:00,SGDPN-SGDPN-2023-3257-E,2023-12-05 00:00:00,FUNDACIÓN SACHA MUSKUY,ORELLANA,SGDPN-SGDPN-2023-3257-E
5,SGDPN-DRCPN-2023-0607-R,2023-12-28 00:00:00,SGDPN-SGDPN-2023-3133-E,2023-11-20 00:00:00,FUNDACIÓN NUA KAKARAM,MORONA SANTIAGO,SGDPN-SGDPN-2023-3133-E
6,SGDPN-DRCPN-2024-0004-R,2024-01-03 00:00:00,SGDPN-OTZ1-2023-0038-E,2023-11-29 00:00:00,FUNDACION RIVER,ESMERALDAS,SGDPN-OTZ1-2023-0038-E
7,SGDPN-DRCPN-2024-0012-R,2024-01-09 00:00:00,SGDPN-OTZ5-2023-0141-E,2023-10-18 00:00:00,FUNDACIÓN DE DESARROLLO INTEGRAL “AYLLUPURA” FUDEI-A,BOLIVAR,SGDPN-OTZ5-2023-0141-E
8,SGDPN-DRCPN-2024-0017-R,2024-01-12 00:00:00,SGDPN-SGDPN-2023-1957-E,2023-06-05 00:00:00,COMUNIDAD INTERECULTURAL “PUMA RUMI”,NAPO,SGDPN-SGDPN-2023-1957-E
9,SGDPN-DRCPN-2024-0027-R,2024-01-18 00:00:00, SGDPN-OTZ5-2023-0139-M,2023-09-26 00:00:00,COMUNIDAD JILIMBI,BOLIVAR, SGDPN-OTZ5-2023-0139-M
10,SGDPN-DRCPN-2024-0028-R,2024-01-19 00:00:00, SGDPN-OTZ5-2023-0191-M,2023-11-06 00:00:00,COMUNIDAD EL TOPE TABLAS CHICO,BOLIVAR, SGDPN-OTZ5-2023-0191-M
11,SGDPN-DRCPN-2024-0036-R,2024-01-23 00:00:00,SGDPN-OTZ5-2023-0146-E,2023-10-31 00:00:00,COMUNIDAD EL RAYO,BOLIVAR,SGDPN-OTZ5-2023-0146-E
12,SGDPN-DRCPN-2024-0047-R,2024-01-29 00:00:00,"SGDPN-OTZ6,7-0097",2023-11-30 00:00:00,CENTRO SHUAR MAMAIS,MORONA SANTIAGO,"SGDPN-OTZ6,7-0097"
13,SGDPN-DRCPN-2024-0080-R,2024-02-26 00:00:00,SGDPN- SGDPN-2023-0385-E,2023-01-30 00:00:00,FUNDACIÓN “AMAWTAY GUANGURISHA”,NAPO,SGDPN- SGDPN-2023-0385-E
14,SGDPN-DRCPN-2024-0141-R,2024-04-11 00:00:00,SGDPN-SGDPN-2023-1985-E,2023-07-20 00:00:00,COMUNIDAD LA PANTERA,SUCUMBIOS,SGDPN-SGDPN-2023-1985-E
15,SGDPN-DRCPN-2024-0170-R,2024-05-01 00:00:00,SGDPN-SGDPN-2024-0898-E,2024-03-20 00:00:00,COMUNIDAD NUEVA UNIÓN,ORELLANA,SGDPN-SGDPN-2024-0898-E
16,SGDPN-DRCPN-2024-0179-R,2024-05-07 00:00:00,SGDPN-SGDPN-2023-1518-E,2023-05-19 00:00:00,ASOCIACION KICHWA SACHA MUYO,ORELLANA,SGDPN-SGDPN-2023-1518-E
17,SGDPN-DRCPN-2024-0198-R,2024-05-21 00:00:00,SGDPN-SGDPN-2023-2768-E,2023-10-02 00:00:00,COMUNIDAD KICHWA PUERTO EL SOL,ORELLANA,SGDPN-SGDPN-2023-2768-E
18,SGDPN-DRCPN-2025-0362-R,2024-06-03 00:00:00,SGDPN-SGDPN -2025-1463-E,2025-04-29 00:00:00,ASOCIACIÓN DE DESARROLLO Y MODERNIZACIÓN SOCIAL “ASODEM”,BOLIVAR,SGDPN-SGDPN -2025-1463-E
19,SGDPN-DRCPN-2024-0237-R,2024-06-14 00:00:00,SGDPN-SGDPN -2024-1450-E,2024-05-23 00:00:00,COMUNIDAD BELLAVISTA DE SAN PEDRO,PICHINCHA,SGDPN-SGDPN -2024-1450-E
20,SGDPN-DRCPN-2024-0263-R,2024-06-28 00:00:00,SGDPN-SGDPN -2024-1728-E,2024-06-21 00:00:00,COMUNIDAD SACHA PUNGO - LA LIBERTAD,COTOPAXI,SGDPN-SGDPN -2024-1728-E
21,SGDPN-DRCPN-2024-0267-R,2024-07-04 00:00:00,SGDPN-SGDPN-2024-0531-E,2024-02-27 00:00:00,FUNDACION INTERCULTURAL RAICES DEL ALBA “F.I.R.A”,PICHINCHA,SGDPN-SGDPN-2024-0531-E
22,SGDPN-DRCPN-2024-0290-R,2024-07-19 00:00:00,SGDPN-SGDPN-2024-0944-E ,2024-03-28 00:00:00,FUNDACION CONSTRUYENDO SUEÑOS DE FAMILIAS INTEGRALES “COSFAIN”,PICHINCHA,SGDPN-SGDPN-2024-0944-E 
23,SGDPN-DRCPN-2024-0321-R,2024-08-15 00:00:00,SGDPN-SGDPN-2024-1359-E,2024-05-14 00:00:00,INTEGRAL PARA EL DESARROLLO DE LOS PUEBLOS ZAGALYTA SISARI “FUNZASI”,IMBABURA,SGDPN-SGDPN-2024-1359-E
24,SGDPN-DRCPN-2024-0325-R,2024-08-16 00:00:00,NO ESPECIFICADO,FECHA NO ESPECIFICADA,COMUNIDAD EL TOPE TABLAS CHICO,BOLIVAR,NO ESPECIFICADO
25,SGDPN-DRCPN-2024-0379-R,2024-09-11 00:00:00,SGDPN-SGDPN-2023-1632-,2023-06-02 00:00:00,COMUNIDAD “NUEVA JUVENTUD”,DESISTIMIENTO,SGDPN-SGDPN-2023-1632-
26,SGDPN-DRCPN-2024-0380-R,2024-09-11 00:00:00,SGDPN-SGDPN-2023-2513-E,2023-09-01 00:00:00,COMUNIDAD 3 DE MAYO,DESISTIMIENTO,SGDPN-SGDPN-2023-2513-E
28,SGDPN-DRCPN-2024-0382-R,2024-09-12 00:00:00,SGDPN-SGDPN-2024-1222-E,2024-04-30 00:00:00,ASOCIACION DE MUJERES PAKARINA “AMUPAK”,COTOPAXI,SGDPN-SGDPN-2024-1222-E
29,SGDPN-DRCPN-2024-0466-R,2024-10-10 00:00:00,SGDPN-SGDPN -2024-1833,2024-07-01 00:00:00,FUNDACION KAWSAIPAK ÑAN “FIJA”,COTOPAXI,SGDPN-SGDPN -2024-1833
30,SGDPN-DRCPN-2024-0468-R,2024-10-18 00:00:00,SGDPN-SGDPN -2024-1604-E,2024-06-07 00:00:00,ASOCIACION DEL PUEBLO MONTUBIO DEL CANTON MACHALA “PMM”,EL ORO,SGDPN-SGDPN -2024-1604-E
31,SGDPN-DRCPN-2024-0469-R,2024-10-18 00:00:00,SGDPN-SGDPN-2024-1784-E,2024-06-26 00:00:00,ASOCIACIÓN POBLACIONAL DE RAÍCES ANCESTRALES WANKAVILKAS “SEMBRANDO EL FUTURO”,GUAYAS,SGDPN-SGDPN-2024-1784-E
32,SGDPN-DRCPN-2024-0471-R,2024-10-22 00:00:00,SGDPN-OTZ5-2024-0028-E,2024-01-25 00:00:00,COMUNIDAD LAIHUA KURIÑAN (CAMINO DEL ORO),BOLIVAR,SGDPN-OTZ5-2024-0028-E
